max_depth,learn_rate,ntrees,AUC,LogLoss,RMSE,F1@opt
2,0.1,100,0.8238924687877568,0.1713502057312667,0.21420611723974156,0.28717948717948716
2,0.1,200,0.8238924687877568,0.1713502057312667,0.21420611723974156,0.28717948717948716
2,0.1,300,0.8238924687877568,0.1713502057312667,0.21420611723974156,0.28717948717948716
2,0.05,100,0.8204993958920661,0.17948502855119494,0.2163690864385443,0.28054298642533937
2,0.05,200,0.8204993958920661,0.17948502855119494,0.2163690864385443,0.28054298642533937
2,0.05,300,0.8204993958920661,0.17948502855119494,0.2163690864385443,0.28054298642533937
3,0.1,100,0.8135118807893678,0.17347916210488562,0.2146880387859607,0.27149321266968324
3,0.1,200,0.8135118807893678,0.17347916210488562,0.2146880387859607,0.27149321266968324
3,0.1,300,0.8135118807893678,0.17347916210488562,0.2146880387859607,0.27149321266968324
3,0.05,100,0.8133004430124849,0.17948339799765087,0.21627521439349776,0.2831050228310502
3,0.05,200,0.8133004430124849,0.17948339799765087,0.21627521439349776,0.2831050228310502
3,0.05,300,0.8133004430124849,0.17948339799765087,0.21627521439349776,0.2831050228310502
4,0.1,100,0.8122029802658075,0.1759746239573078,0.215294831945256,0.29556650246305416
4,0.1,200,0.8122029802658075,0.1759746239573078,0.215294831945256,0.29556650246305416
4,0.1,300,0.8122029802658075,0.1759746239573078,0.215294831945256,0.29556650246305416
4,0.05,100,0.8118606524365687,0.18415156973206007,0.21738812391124818,0.2796610169491525
4,0.05,200,0.8118606524365687,0.18415156973206007,0.21738812391124818,0.2796610169491525
4,0.05,300,0.8118606524365687,0.18415156973206007,0.21738812391124818,0.2796610169491525
5,0.1,100,0.8097664115988723,0.17761579064950245,0.21553235345030508,0.26865671641791045
5,0.1,200,0.8097664115988723,0.17761579064950245,0.21553235345030508,0.26865671641791045
5,0.1,300,0.8097664115988723,0.17761579064950245,0.21553235345030508,0.26865671641791045
5,0.05,100,0.7995871929118002,0.18495779836160775,0.2175655951650203,0.25619834710743805
5,0.05,200,0.7995871929118002,0.18495779836160775,0.2175655951650203,0.25619834710743805
5,0.05,300,0.7995871929118002,0.18495779836160775,0.2175655951650203,0.25619834710743805
