experiment,representation,cv_folds,selected_trees,best_cv_accuracy,best_validation_error,test_accuracy
xgboost_pixels,raw MNIST pixels,2,200,0.9440727272727273,0.03979999999999995,0.961
xgboost_lenet_features,precomputed LeNet features,3,200,0.980327242301596,0.01739999999999997,0.9833
