bucket,train_rows,validation_rows,test_rows,validation_rmse,validation_mae,diagnostic_test_rmse,diagnostic_test_mae,target_routed,deployable
low,4995,1072,1027,1.6414865215449264,1.1208810184658868,1.5521907961619337,1.0756046131040993,True,False
medium,4991,1097,993,5.649144876899103,3.849463814615007,5.569021001237886,3.710997403954821,True,False
high,4995,1024,1069,11.190175990277442,7.234061409354364,11.109762502965618,7.661069789558082,True,False
